ID,来源,房源ID,类型,标题,价格(日元),价格显示,地址,面积(㎡),房型,楼层,建筑类型,建造年份,总楼层,最近车站,步行分钟,联系人,电话,详情链接,爬取时间
204,homes,d5953f7f287cbc659244cfd5b90b7312dce4e796,rent,山木ハイツ（4階/405/1LDK/47.1m²）,70000,7万円,愛知県名古屋市西区山木２丁目,47.10,1LDK,4,,1977,0,""">平均家賃より安い(上小田井駅",10,,,https://www.homes.co.jp/chintai/room/d5953f7f287cbc659244cfd5b90b7312dce4e796/,0001-01-01 00:00:00
30,homes,8ca9d0189bca62ec3cf6312d0f7e9412db86c5e3,rent,追加する,70000,7万円,,0.00,3D,3,,0,0,,0,,,https://www.homes.co.jp/chintai/room/8ca9d0189bca62ec3cf6312d0f7e9412db86c5e3/,0001-01-01 00:00:00
205,homes,c73cedde9c418f6f3f3387ce1dd0efe024e30aca,rent,UR豊成（3階/3LDK/92.4m²）,210000,21万円,愛知県名古屋市中川区豊成町1丁目,92.40,3LDK,3,,1979,0,""">独立行政法人都市再生機構　UR賃貸ショップ名駅",15,,,https://www.homes.co.jp/chintai/room/c73cedde9c418f6f3f3387ce1dd0efe024e30aca/,0001-01-01 00:00:00
206,homes,548c1e893672b0585734920efbe61233275a3316,rent,SHIGA CORPO（4階/1K/28.8m²）,20000,2万円,愛知県名古屋市北区憧旛町１丁目,28.80,1K,4,,1973,0,"detail-main-screen:rounded-b-md""><span class=""block truncate"" data-clarity-mask=""true"">志賀本通駅",4,,,https://www.homes.co.jp/chintai/room/548c1e893672b0585734920efbe61233275a3316/,0001-01-01 00:00:00
207,homes,6e5484eb5621a5cad0f740cbd2cd3c6b44b2d2ad,rent,UR豊成（6階/2LDK/59.46m²）,520000,52万円,愛知県名古屋市中川区豊成町1丁目,59.46,2LDK,6,,1978,0,"""><p class=""text-sm whitespace-pre-line"">LIFULL HOME'S 住みたい街ランキング中部圏版にランクインした「岐阜駅、中村公園駅、豊橋駅、岡崎駅、新栄町駅",13,,,https://www.homes.co.jp/chintai/room/6e5484eb5621a5cad0f740cbd2cd3c6b44b2d2ad/,0001-01-01 00:00:00
208,homes,5d338c315de2fb557907fd15923dce511c687bd0,rent,UR豊成（11階/1LDK/48.59m²）,850000,85万円,愛知県名古屋市中川区豊成町1丁目,48.59,1LDK,11,,1978,0,"""><p class=""text-sm whitespace-pre-line"">LIFULL HOME'S 住みたい街ランキング中部圏版にランクインした「岐阜駅、中村公園駅、豊橋駅、岡崎駅、新栄町駅",12,,,https://www.homes.co.jp/chintai/room/5d338c315de2fb557907fd15923dce511c687bd0/,0001-01-01 00:00:00
38,homes,3e95e0bb9680a724b9409a991902112ddf29b52e,rent,カーサ・ソレイユ（2階/8/2K/30.78m²）,50000,5万円,愛知県名古屋市南区鳴尾1丁目249-2,30.78,3D,2,,1973,0,"text-xs""><li data-clarity-mask=""true"">大高駅",26,,,https://www.homes.co.jp/chintai/room/3e95e0bb9680a724b9409a991902112ddf29b52e/,0001-01-01 00:00:00
210,homes,3c3ae310945efa02c36d367d296cc0879b56e6bd,rent,UR豊成（11階/1LDK/46.2m²）,280000,28万円,愛知県名古屋市中川区豊成町1丁目,46.20,1LDK,11,,1978,0,"""><p class=""text-sm whitespace-pre-line"">LIFULL HOME'S 住みたい街ランキング中部圏版にランクインした「岐阜駅、中村公園駅、豊橋駅、岡崎駅、新栄町駅",10,,,https://www.homes.co.jp/chintai/room/3c3ae310945efa02c36d367d296cc0879b56e6bd/,0001-01-01 00:00:00
37,homes,0178c854cd4914bd59fab7f8917c3984ef75fccf,rent,追加する,90000,9万円,,0.00,3D,1,,0,0,,0,,,https://www.homes.co.jp/chintai/room/0178c854cd4914bd59fab7f8917c3984ef75fccf/,0001-01-01 00:00:00
211,homes,71f7f83ae8beedbed6a55f343fe37606f01efc4e,rent,UR則武（9階/1DK/32.51m²）,720000,72万円,愛知県名古屋市中村区竹橋町,32.51,1DK,9,,1965,0,"""><p class=""text-sm whitespace-pre-line"">LIFULL HOME'S 住みたい街ランキング中部圏版にランクインした「岐阜駅、中村公園駅、豊橋駅、岡崎駅、新栄町駅",10,,,https://www.homes.co.jp/chintai/room/71f7f83ae8beedbed6a55f343fe37606f01efc4e/,0001-01-01 00:00:00
68,homes,22300485d64dc6e67b1b18f0e50bf984512055a5,rent,はなの芽貸家（4LDK/115.49m²）,200000,20万円,愛知県名古屋市南区観音町8丁目55,115.49,3D,2,,1981,0,"text-xs""><li data-clarity-mask=""true"">道徳駅",10,,,https://www.homes.co.jp/chintai/room/22300485d64dc6e67b1b18f0e50bf984512055a5/,0001-01-01 00:00:00
213,homes,1db494004ed6057506ba94d6a4ceba9adcb47def,rent,レジデンスＨＴＫ（1階/1LDK/46.16m²）,40000,4万円,愛知県名古屋市北区鳩岡２丁目,46.16,3D,1,,2022,0,"""><p class=""text-sm whitespace-pre-line"">LIFULL HOME'S 住みたい街ランキング中部圏版にランクインした「岐阜駅、中村公園駅、豊橋駅、岡崎駅、新栄町駅",10,,,https://www.homes.co.jp/chintai/room/1db494004ed6057506ba94d6a4ceba9adcb47def/,0001-01-01 00:00:00
214,homes,d4776dee404ed5957d9b13a01839142d001fc707,rent,URアーバンラフレ鳴子（2階/1DK/44.82m²）,680000,68万円,愛知県名古屋市緑区鳴子町1丁目,44.82,1DK,2,,2015,0,"""><div><p>名古屋市営桜通線 鳴子北駅",12,,,https://www.homes.co.jp/chintai/room/d4776dee404ed5957d9b13a01839142d001fc707/,0001-01-01 00:00:00
22,homes,c339b3d95b91b9f45608ef193d74ee370e7f7939,rent,詳細取得中...,30000,3万円,,0.00,3D,1,,0,0,,0,,,https://www.homes.co.jp/chintai/room/c339b3d95b91b9f45608ef193d74ee370e7f7939/,0001-01-01 00:00:00
51,homes,21f37dc002054519de37197aefc8f99e979d6a08,rent,,50000,5万円,,0.00,3D,1,,0,0,,0,,,https://www.homes.co.jp/chintai/room/21f37dc002054519de37197aefc8f99e979d6a08/,0001-01-01 00:00:00
25,homes,3a4ebcc4c364eedb3668fd39a09fa9f7f03495be,rent,詳細取得中...,40000,4万円,,0.00,3D,4,,0,0,,0,,,https://www.homes.co.jp/chintai/room/3a4ebcc4c364eedb3668fd39a09fa9f7f03495be/,0001-01-01 00:00:00
28,homes,51dff1a341b7b0e94b55de18ad757b6a4ac24049,rent,プリマヴェーラ白鳳（2階/E/2LDK/66.25m²）,80000,8万円,愛知県名古屋市天白区一本松2丁目511,66.25,3D,2,,2023,0,"text-xs""><li data-clarity-mask=""true"">塩釜口駅",14,,,https://www.homes.co.jp/chintai/room/51dff1a341b7b0e94b55de18ad757b6a4ac24049/,0001-01-01 00:00:00
31,homes,16a72a9d577b8f9ea7be42d70f7724d88df45f69,rent,レージュグリーン（3階/2LDK/56.7m²）,60000,6万円,愛知県名古屋市緑区亀が洞２丁目1010番,56.70,2LDK,3,,1998,0,"text-xs""><li data-clarity-mask=""true"">徳重駅",12,,,https://www.homes.co.jp/chintai/room/16a72a9d577b8f9ea7be42d70f7724d88df45f69/,0001-01-01 00:00:00
29,homes,4710c1993b49c98246a04f3a2fc92a4b8ac1bfea,rent,グランドメゾン熊野（3階/302/2LDK/68.94m²）,30000,3万円,愛知県名古屋市緑区西神の倉1丁目615,68.94,3D,3,,2000,0,"text-xs""><li data-clarity-mask=""true"">徳重駅",12,,,https://www.homes.co.jp/chintai/room/4710c1993b49c98246a04f3a2fc92a4b8ac1bfea/,0001-01-01 00:00:00
60,homes,adea35d5a8485b5d994203b0a1450c89a65b695b,rent,レージュ徳重（3階/2LDK/56.7m²）,70000,7万円,愛知県名古屋市緑区亀が洞２丁目,56.70,2LDK,3,,1998,0,"text-xs""><li data-clarity-mask=""true"">徳重駅",17,,,https://www.homes.co.jp/chintai/room/adea35d5a8485b5d994203b0a1450c89a65b695b/,0001-01-01 00:00:00
138,homes,a1f4d1065033ee5fc975f91b576ae22cad46a279,rent,THE LOUNGE LINEAR GATE（8階/801/1DK/29.64m²）,50000,5万円,愛知県名古屋市中村区則武１丁目,29.64,1DK,8,,2025,0,"text-xs""><li data-clarity-mask=""true"">名古屋駅",7,,,https://www.homes.co.jp/chintai/room/a1f4d1065033ee5fc975f91b576ae22cad46a279/,0001-01-01 00:00:00
139,homes,0fcaf1d7514d6af4e3a4fb0ed305d948b5f960ff,rent,名鉄名古屋本線 神宮前駅 徒歩9分（9階/1LDK/29.82m²）,670000,67万円,愛知県名古屋市瑞穂区新開町,29.82,1LDK,9,,2026,0,"snap-center"">名鉄名古屋本線 神宮前駅",9,,,https://www.homes.co.jp/chintai/room/0fcaf1d7514d6af4e3a4fb0ed305d948b5f960ff/,0001-01-01 00:00:00
26,homes,68f7d35d2075ba1e790f3c7c115765589b29b299,rent,リアン平塚ビル（3階/303/2LDK/61.75m²）,70000,7万円,愛知県名古屋市瑞穂区堀田通6丁目10-1,61.75,2LDK,3,,2020,0,"text-xs""><li data-clarity-mask=""true"">神宮前駅",11,,,https://www.homes.co.jp/chintai/room/68f7d35d2075ba1e790f3c7c115765589b29b299/,0001-01-01 00:00:00
32,homes,bd42c799737087331830ffee0b7a4963f69b8e66,rent,パークヒルズ一社（2階/203/1K/35.15m²）,40000,4万円,"{&quot;tealium_event&quot;:&quot;click_content&quot;,&quot;click_id&quot;:&quot;v5:cross:common:glbl_hd_logo&quot;,&quot;click_type&quot;:&quot;link&quot;}",0.00,3D,2,,0,0,"text-xs""><li data-clarity-mask=""true"">一社駅",8,,,https://www.homes.co.jp/chintai/room/bd42c799737087331830ffee0b7a4963f69b8e66/,0001-01-01 00:00:00
34,homes,cc0c1159456f83dc9453f87388e802b8dd393cb3,rent,,50000,5万円,,0.00,3D,4,,0,0,,0,,,https://www.homes.co.jp/chintai/room/cc0c1159456f83dc9453f87388e802b8dd393cb3/,0001-01-01 00:00:00
36,homes,c728e977a3b12eef1c7ba47db76f1bd5f4de1531,rent,comodo八勝通（3LDK/89.44m²）,180000,18万円,,89.44,3D,2,,2012,0,"text-xs""><li data-clarity-mask=""true"">瑞穂運動場東駅",3,,,https://www.homes.co.jp/chintai/room/c728e977a3b12eef1c7ba47db76f1bd5f4de1531/,0001-01-01 00:00:00
137,homes,5e6941ce6f50f738a5b399faafa20fe33b72df1b,rent,,70000,7万円,,0.00,1L,6,,0,0,,0,,,https://www.homes.co.jp/chintai/room/5e6941ce6f50f738a5b399faafa20fe33b72df1b/,0001-01-01 00:00:00
215,homes,a38e39d88d9f0ac999300757fa585100ecc21b91,rent,フローラテラスII（3階/2LDK/61.15m²）,90000,9万円,愛知県名古屋市守山区喜多山南,61.15,3D,3,,2016,0,"""><div><p>名鉄瀬戸線 喜多山駅",7,,,https://www.homes.co.jp/chintai/room/a38e39d88d9f0ac999300757fa585100ecc21b91/,0001-01-01 00:00:00
216,homes,8e937e8626945852976b1573a89c1cf28b3315a9,rent,メゾンアイリス（1階/2LDK/50.33m²）,20000,2万円,愛知県名古屋市守山区中新,50.33,3D,1,,2007,0,""">平均家賃より安い(瓢箪山駅",10,,,https://www.homes.co.jp/chintai/room/8e937e8626945852976b1573a89c1cf28b3315a9/,0001-01-01 00:00:00
10,homes,890ab1fb2984355d78601f5bd4e60c08cbf1adb6,rent,Ｐｒｏｓｐｅｒｉｔｅ（6階/6B/1LDK/40m²）,50000,5万円,愛知県名古屋市東区新出来２丁目,40.00,3D,6,,2005,0,"""><div><p>名古屋市営桜通線 車道駅",13,,,https://www.homes.co.jp/chintai/room/890ab1fb2984355d78601f5bd4e60c08cbf1adb6/,0001-01-01 00:00:00
218,homes,03d78615866b47782ee62bd4c5d6d79fdb6a3563,rent,ボヌール幸心（1階/2LDK/58.1m²）,90000,9万円,愛知県名古屋市守山区幸心１丁目,58.10,3D,1,,2010,0,"""><div><p>JR中央本線 新守山駅",5,,,https://www.homes.co.jp/chintai/room/03d78615866b47782ee62bd4c5d6d79fdb6a3563/,0001-01-01 00:00:00
12,homes,c649ac3d391483b2c69d5449248cf5df498742e2,rent,緑彩館ＷＥＳＴ（4階/4B/1LDK/36.96m²）,50000,5万円,愛知県名古屋市守山区東山町,36.96,3D,4,,2003,0,""">平均家賃より安い(守山自衛隊前駅",10,,,https://www.homes.co.jp/chintai/room/c649ac3d391483b2c69d5449248cf5df498742e2/,0001-01-01 00:00:00
220,homes,8fbc305decbafb09162f180c8a05bc1e5640a9fb,rent,ヴェルドミール（1階/ワンルーム/40.3m²）,50000,5万円,愛知県名古屋市守山区小幡中２丁目,40.30,3D,1,,2006,0,"""><div><p>名鉄瀬戸線 小幡駅",9,,,https://www.homes.co.jp/chintai/room/8fbc305decbafb09162f180c8a05bc1e5640a9fb/,0001-01-01 00:00:00
45,homes,6ea249cd22305415de5107aa623b4d1375584d89,rent,セレーノ鳥羽見II（2階/A201/1LDK/55.33m²）,50000,5万円,愛知県名古屋市守山区鳥羽見１丁目,55.33,3D,2,,2001,0,"""><div><p>JR中央本線 新守山駅",13,,,https://www.homes.co.jp/chintai/room/6ea249cd22305415de5107aa623b4d1375584d89/,0001-01-01 00:00:00
14,homes,ca845a4796555bc319da63e8a43d8c4bf3ae2c38,rent,ボヌールＢ（1階/101/1LDK/44.15m²）,60000,6万円,愛知県名古屋市北区楠２丁目,44.15,3D,1,,2007,0,"""><div><p>JR東海交通城北線 味美駅",19,,,https://www.homes.co.jp/chintai/room/ca845a4796555bc319da63e8a43d8c4bf3ae2c38/,0001-01-01 00:00:00
16,homes,e1aca0c2294c9a71347119a6ea019ece334e5d1f,rent,メルベーユII（2階/201/1LDK/48.24m²）,10000,1万円,愛知県名古屋市守山区大森５丁目,48.24,3D,2,,2004,0,"""><div><p>名鉄瀬戸線 印場駅",5,,,https://www.homes.co.jp/chintai/room/e1aca0c2294c9a71347119a6ea019ece334e5d1f/,0001-01-01 00:00:00
17,homes,718eb8ebc5c9c39fd0a8812ad87370aef7eb57fc,rent,Ａｂｅｎｄ　Ｍｅｅｒ（2階/201/2LDK/71.73m²）,20000,2万円,愛知県名古屋市名東区照が丘,71.73,3D,2,,2025,0,"""><p class=""text-sm whitespace-pre-line"">LIFULL HOME'S 住みたい街ランキング中部圏版にランクインした「岐阜駅、中村公園駅、豊橋駅、岡崎駅、新栄町駅",8,,,https://www.homes.co.jp/chintai/room/718eb8ebc5c9c39fd0a8812ad87370aef7eb57fc/,0001-01-01 00:00:00
18,homes,6f19f5214fdd7cce84aa2fe491f8d73eb2505a24,rent,アベニューナオコ（2階/C202/2K/39.08m²）,50000,5万円,愛知県名古屋市守山区小幡北,39.08,3D,2,,1993,0,"""><div><p>名鉄瀬戸線 喜多山駅",15,,,https://www.homes.co.jp/chintai/room/6f19f5214fdd7cce84aa2fe491f8d73eb2505a24/,0001-01-01 00:00:00
20,homes,b8ab23d3cc739a09355669f7659352ad091d4e4e,rent,ヴェルディー小幡（1階/101/1K/24.71m²）,90000,9万円,愛知県名古屋市守山区小幡３丁目,24.71,3D,1,,1994,0,"""><div><p>名鉄瀬戸線 喜多山駅",16,,,https://www.homes.co.jp/chintai/room/b8ab23d3cc739a09355669f7659352ad091d4e4e/,0001-01-01 00:00:00
19,homes,9680cf98ac8611a9e43c4c145680376a2ba02bd1,rent,十王町貸家（3LDK/99.85m²）,90000,9万円,愛知県名古屋市中村区十王町,99.85,3D,1,,2024,0,"""><div><p>名古屋市営東山線 本陣駅",6,,,https://www.homes.co.jp/chintai/room/9680cf98ac8611a9e43c4c145680376a2ba02bd1/,0001-01-01 00:00:00
21,homes,3c3c6a8426f68b3c6a6735607fd436179d386794,rent,グリーン御膳洞（1階/2LDK/52.01m²）,50000,5万円,愛知県名古屋市守山区御膳洞,52.01,3D,1,,1992,0,"""><div><p>名鉄瀬戸線 印場駅",16,,,https://www.homes.co.jp/chintai/room/3c3c6a8426f68b3c6a6735607fd436179d386794/,0001-01-01 00:00:00
23,homes,43b53b52f34e18bf0c3c9d7e9f408157a27f0388,rent,グリーンビレッジ1．2（1階/A101/1K/21.18m²）,90000,9万円,愛知県名古屋市守山区村前町,21.18,3D,1,,1991,0,"""><div><p>名鉄瀬戸線 瓢箪山駅",19,,,https://www.homes.co.jp/chintai/room/43b53b52f34e18bf0c3c9d7e9f408157a27f0388/,0001-01-01 00:00:00
24,homes,e931226dcea4c003b016b68b01ca07c7726d2953,rent,ＫＩＫＵＳＩＮビル（7階/7F/3LDK/101.59m²）,220000,22万円,愛知県名古屋市瑞穂区豊岡通３丁目,101.59,3D,7,,1987,0,"""><div><p>名古屋市営桜通線 瑞穂運動場西駅",5,,,https://www.homes.co.jp/chintai/room/e931226dcea4c003b016b68b01ca07c7726d2953/,0001-01-01 00:00:00
232,homes,65880498470e7799c000846999569c417b176254,rent,ウィステリアハウス（1階/102/2LDK/63.36m²）,2120000,212万円,愛知県名古屋市名東区社が丘1丁目707番,63.36,3D,1,,2023,0,"text-xs""><li data-clarity-mask=""true"">本郷駅",11,,,https://www.homes.co.jp/chintai/room/65880498470e7799c000846999569c417b176254/,0001-01-01 00:00:00
233,homes,5000d0368e2e4fd5a6434f18c8a2376b0926da65,rent,エクセル新宿（3階/303/2LDK/60.48m²）,80000,8万円,愛知県名古屋市名東区新宿1丁目94,60.48,3D,3,,2013,0,"text-xs""><li data-clarity-mask=""true"">一社駅",37,,,https://www.homes.co.jp/chintai/room/5000d0368e2e4fd5a6434f18c8a2376b0926da65/,0001-01-01 00:00:00
234,homes,d1e64a7d6534ec9b4840460e100d6355c63367c0,rent,Ｃｈｅｒｒｙ　Ｓｕｉｔｅ（3階/303/1K/29.96m²）,90000,9万円,愛知県名古屋市西区南堀越1丁目8-24,29.96,3D,3,,2008,0,"text-xs""><li data-clarity-mask=""true"">浄心駅",17,,,https://www.homes.co.jp/chintai/room/d1e64a7d6534ec9b4840460e100d6355c63367c0/,0001-01-01 00:00:00
236,homes,b1c60d576529807d9c0f860729a94b64846f5d27,rent,ブルーポアール（4階/4A/2LDK/60m²）,20000,2万円,愛知県名古屋市名東区一社4丁目220-1,60.00,3D,4,,2018,0,"text-xs""><li data-clarity-mask=""true"">一社駅",12,,,https://www.homes.co.jp/chintai/room/b1c60d576529807d9c0f860729a94b64846f5d27/,0001-01-01 00:00:00
237,homes,1aa00a64fc8d80ca49ec3e87bf2409daed1ff749,rent,ウイル一社（5階/5A/2LDK/64.36m²）,80000,8万円,愛知県名古屋市名東区一社2丁目16,64.36,3D,5,,2013,0,"text-xs""><li data-clarity-mask=""true"">一社駅",4,,,https://www.homes.co.jp/chintai/room/1aa00a64fc8d80ca49ec3e87bf2409daed1ff749/,0001-01-01 00:00:00
240,homes,e8fcbaadbc99cb5894da458110a860ce33838333,rent,ＶＡＮＣＯＵＶＥＲ1108覚王山（3階/301/2LDK/64.06m²）,50000,5万円,愛知県名古屋市千種区菊坂町2丁目12-1,64.06,3D,3,,2014,0,"text-xs""><li data-clarity-mask=""true"">池下駅",7,,,https://www.homes.co.jp/chintai/room/e8fcbaadbc99cb5894da458110a860ce33838333/,0001-01-01 00:00:00
33,homes,a7392018a2a2bfd541d8e3e9ab36e760f6784da0,rent,横吹小菅ビル（2階/205/2LDK/67.26m²）,70000,7万円,愛知県名古屋市緑区横吹町902,67.26,3D,2,,1993,0,"text-xs""><li data-clarity-mask=""true"">徳重駅",7,,,https://www.homes.co.jp/chintai/room/a7392018a2a2bfd541d8e3e9ab36e760f6784da0/,0001-01-01 00:00:00
242,homes,595ff762ad99760b3a97f3e5a001175ebeac8d13,rent,京田町貸家 南棟（3LDK/82.78m²）,50000,5万円,愛知県名古屋市中村区京田町3丁目1-3,82.78,3LDK,,,2024,0,"text-xs""><li data-clarity-mask=""true"">黄金駅",11,,,https://www.homes.co.jp/chintai/room/595ff762ad99760b3a97f3e5a001175ebeac8d13/,0001-01-01 00:00:00
35,homes,1c9c0894d5efd9adce9dd522da33d4dd58246efa,rent,赤坪第2小菅ビル（1階/102/3DK/66.55m²）,270000,027万円,愛知県名古屋市南区赤坪町102,66.55,3DK,1,,1994,0,"text-xs""><li data-clarity-mask=""true"">本笠寺駅",16,,,https://www.homes.co.jp/chintai/room/1c9c0894d5efd9adce9dd522da33d4dd58246efa/,0001-01-01 00:00:00
244,homes,25b54619562bfd7ea0f78202bda9d65c76f12732,rent,エクセル名商（2階/202/1LDK/29.35m²）,50000,5万円,愛知県名古屋市中村区則武2丁目33-13,29.35,1LDK,2,,1991,0,"text-xs""><li data-clarity-mask=""true"">太閤通駅",6,,,https://www.homes.co.jp/chintai/room/25b54619562bfd7ea0f78202bda9d65c76f12732/,0001-01-01 00:00:00
196,homes,38e1a0d3fb75a9701781fec9e771aa9a60a9239c,rent,URアーバンドエル植田（3階/2LDK/66.02m²）,840000,84万円,愛知県名古屋市天白区植田2丁目,66.02,2LDK,3,,1998,0,"""><div><p>名古屋市営鶴舞線 植田駅",8,,,https://www.homes.co.jp/chintai/room/38e1a0d3fb75a9701781fec9e771aa9a60a9239c/,0001-01-01 00:00:00
245,homes,28ec222ae2a89d9894196a7d99481573601069fe,rent,ホシオウビル（3階/305/ワンルーム/16.01m²）,20000,2万円,愛知県名古屋市中区伊勢山2丁目6-22,16.01,3D,3,,1992,0,"text-xs""><li data-clarity-mask=""true"">東別院駅",4,,,https://www.homes.co.jp/chintai/room/28ec222ae2a89d9894196a7d99481573601069fe/,0001-01-01 00:00:00
197,homes,11dd1dfdd1528d6cfef9e995758c5efb93fb4ac9,rent,ビレッジハウス木場タワー1号棟（8階/0811/3DK/62.52m²）,160000,16万円,愛知県名古屋市港区木場町6-18,62.52,3DK,8,,1988,0,"""><div><p>名鉄常滑線 道徳駅",16,,,https://www.homes.co.jp/chintai/room/11dd1dfdd1528d6cfef9e995758c5efb93fb4ac9/,0001-01-01 00:00:00
198,homes,007a41c1b21fce0c403ebe8e249d111e67607f50,rent,UR高畑（3階/3DK/61.85m²）,970000,97万円,愛知県名古屋市中川区高畑3丁目,61.85,3DK,3,,1985,0,"""><div><p>名古屋市営東山線 高畑駅",6,,,https://www.homes.co.jp/chintai/room/007a41c1b21fce0c403ebe8e249d111e67607f50/,0001-01-01 00:00:00
66,homes,f41b7fe1aa79bac5c9eebb630267e11f7064e681,rent,ユニーブル鳥栖（1階/102/3LDK/72.46m²）,90000,9万円,愛知県名古屋市南区鳥栖1丁目15-4,72.46,3D,1,,1985,0,"text-xs""><li data-clarity-mask=""true"">桜本町駅",3,,,https://www.homes.co.jp/chintai/room/f41b7fe1aa79bac5c9eebb630267e11f7064e681/,0001-01-01 00:00:00
